animal,type,exp,protocol,lever_min,mag_min,collect_time
94,yoked,2,SF_Lever-Pellet_Yoked_2,0.1,5.1,16.9
94,yoked,3,SF_Lever-Pellet_Yoked_3,0.0,3.0,10.4
94,yoked,4,SF_Lever-Pellet_Yoked_4,0.0,6.7,6.2
95,yoked,1,SF_Lever-Pellet_Yoked_1,0.1,1.9,7.5
95,yoked,2,SF_Lever-Pellet_Yoked_2,0.2,2.4,7.6
95,yoked,3,SF_Lever-Pellet_Yoked_3,0.1,1.9,7.5
95,yoked,4,SF_Lever-Pellet_Yoked_4,0.2,2.4,7.6
96,trained,1,SF_Lever-Pellet_CRF,0.4,2.2,3.2
96,trained,2,SF_Lever-Pellet_RI 15,1.9,4.0,2.8
96,trained,3,SF_Lever-Pellet_RI 30,4.7,3.7,1.8
96,trained,4,SF_Lever-Pellet_RI 30_2,1.5,2.2,1.1
97,yoked,3,SF_Lever-Pellet_Yoked_3,0,8,8.8
97,yoked,4,SF_Lever-Pellet_Yoked_4,0.1,9.4,4
